year,id,make,model,default_model_images
1979-1985,1,AC,3000ME,"http://www.coverland.com/pub/media/category-images-new/ac-3000me-1979-bkgr-2to.webp,http://www.coverland.com/pub/media/category-images-new/ac-3000me-1979-bkrd-2to.webp,http://www.coverland.com/pub/media/category-images-new/ac-3000me-1979-bkgr-str.webp,http://www.coverland.com/pub/media/category-images-new/ac-3000me-1979-bkrd-str.webp,http://www.coverland.com/pub/media/category-images-new/01-str-grbk-nmr.webp,http://www.coverland.com/pub/media/category-images-new/ac-3000me-1979-grbk-tri.webp,http://www.coverland.com/pub/media/category-images-new/ac-3000me-1979-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/standard-gr-1to-nmr.webp"
1959-1963,2,AC,Greyhound,"http://www.coverland.com/pub/media/category-images-new/ac-greyhound-1959-bkgr-2to.webp,http://www.coverland.com/pub/media/category-images-new/ac-greyhound-1959-bkrd-2to.webp,http://www.coverland.com/pub/media/category-images-new/ac-greyhound-1959-bkgr-str.webp,http://www.coverland.com/pub/media/category-images-new/ac-greyhound-1959-bkrd-str.webp,http://www.coverland.com/pub/media/category-images-new/01-str-grbk-nmr.webp,http://www.coverland.com/pub/media/category-images-new/ac-greyhound-1959-grbk-tri.webp,http://www.coverland.com/pub/media/category-images-new/ac-greyhound-1959-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/standard-gr-1to-nmr.webp"
1965-1967,4,AC,Shelby Cobra,"http://www.coverland.com/pub/media/category-images-new/ac-427-1964-bkgr-2to.webp,http://www.coverland.com/pub/media/category-images-new/ac-427-1964-bkrd-2to.webp,http://www.coverland.com/pub/media/category-images-new/ac-427-1964-bkgr-str.webp,http://www.coverland.com/pub/media/category-images-new/ac-427-1964-bkrd-str.webp,http://www.coverland.com/pub/media/category-images-new/01-str-grbk-nmr.webp,http://www.coverland.com/pub/media/category-images-new/ac-427-1964-grbk-tri.webp,http://www.coverland.com/pub/media/category-images-new/ac-427-1964-1967-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/standard-gr-1to-nmr.webp"
2001-2003,6,Acura,CL,"http://www.coverland.com/pub/media/category-images-new/premium-plus-bkgr-2to.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkrd-2to.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkgr-str.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkrd-str.webp,http://www.coverland.com/pub/media/category-images-new/01-str-grbk.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-grbk-tri.webp,http://www.coverland.com/pub/media/category-images-new/premium-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/standard-pro-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/standard-gr-1to.webp"
2006-2011,7,Acura,CSX,"http://www.coverland.com/pub/media/category-images-new/premium-plus-bkgr-2to.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkrd-2to.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkgr-str.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkrd-str.webp,http://www.coverland.com/pub/media/category-images-new/01-str-grbk.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-grbk-tri.webp,http://www.coverland.com/pub/media/category-images-new/premium-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/standard-pro-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/standard-gr-1to.webp"
1997-2005,8,Acura,EL,"http://www.coverland.com/pub/media/category-images-new/premium-plus-bkgr-2to.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkrd-2to.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkgr-str.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkrd-str.webp,http://www.coverland.com/pub/media/category-images-new/01-str-grbk.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-grbk-tri.webp,http://www.coverland.com/pub/media/category-images-new/premium-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/standard-pro-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/standard-gr-1to.webp"
2016-2022,10,Acura,ILX,"http://www.coverland.com/pub/media/category-images-new/premium-plus-bkgr-2to.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkrd-2to.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkgr-str.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkrd-str.webp,http://www.coverland.com/pub/media/category-images-new/01-str-grbk.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-grbk-tri.webp,http://www.coverland.com/pub/media/category-images-new/premium-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/standard-pro-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/standard-gr-1to.webp"
1994-2001,15,Acura,Integra,"http://www.coverland.com/pub/media/category-images-new/premium-plus-bkgr-2to.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkrd-2to.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkgr-str.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkrd-str.webp,http://www.coverland.com/pub/media/category-images-new/01-str-grbk.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-grbk-tri.webp,http://www.coverland.com/pub/media/category-images-new/premium-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/standard-pro-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/standard-gr-1to.webp"
1997-2001,17,Acura,Integra Type-R,"http://www.coverland.com/pub/media/category-images-new/acura-integra-type-r-1997-bkgr-2to.webp,http://www.coverland.com/pub/media/category-images-new/acura-integra-type-r-1997-bkrd-2to.webp,http://www.coverland.com/pub/media/category-images-new/acura-integra-type-r-1997-bkgr-str.webp,http://www.coverland.com/pub/media/category-images-new/acura-integra-type-r-1997-bkrd-str.webp,http://www.coverland.com/pub/media/category-images-new/01-str-grbk.webp,http://www.coverland.com/pub/media/category-images-new/acura-integra-type-r-1997-grbk-tri.webp,http://www.coverland.com/pub/media/category-images-new/acura-integra-type-r-1997-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/standard-pro-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/standard-gr-1to.webp"
1991-1996,19,Acura,Legend,"http://www.coverland.com/pub/media/category-images-new/premium-plus-bkgr-2to.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkrd-2to.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkgr-str.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkrd-str.webp,http://www.coverland.com/pub/media/category-images-new/01-str-grbk.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-grbk-tri.webp,http://www.coverland.com/pub/media/category-images-new/premium-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/standard-pro-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/standard-gr-1to.webp"
