id,type,foo,make,model,default_model_images
1,SUV Cover,Acura MDX,Acura,MDX,"http://www.coverland.com/pub/media/category-images-new/suv-premium-plus-bkgr-str.webp,http://www.coverland.com/pub/media/category-images-new/suv-premium-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-pro-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-gr-1to.webp"
2,SUV Cover,Acura RDX,Acura,RDX,"http://www.coverland.com/pub/media/category-images-new/suv-premium-plus-bkgr-str.webp,http://www.coverland.com/pub/media/category-images-new/suv-premium-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-pro-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-gr-1to.webp"
3,SUV Cover,Acura SLX,Acura,SLX,"http://www.coverland.com/pub/media/category-images-new/suv-premium-plus-bkgr-str.webp,http://www.coverland.com/pub/media/category-images-new/suv-premium-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-pro-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-gr-1to.webp"
4,SUV Cover,Alfa Romeo Stelvio,Alfa Romeo,Stelvio,"http://www.coverland.com/pub/media/category-images-new/suv-premium-plus-bkgr-str.webp,http://www.coverland.com/pub/media/category-images-new/suv-premium-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-pro-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-gr-1to.webp"
5,SUV Cover,AM General Hummer,AM General,Hummer,"http://www.coverland.com/pub/media/category-images-new/suv-premium-plus-bkgr-str.webp,http://www.coverland.com/pub/media/category-images-new/suv-premium-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-pro-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-gr-1to.webp"
6,SUV Cover,Aston Martin DBX,Aston Martin,DBX,"http://www.coverland.com/pub/media/category-images-new/suv-premium-plus-bkgr-str.webp,http://www.coverland.com/pub/media/category-images-new/suv-premium-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-pro-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-gr-1to.webp"
7,SUV Cover,Audi E-Tron,Audi,E-Tron,"http://www.coverland.com/pub/media/category-images-new/suv-premium-plus-bkgr-str.webp,http://www.coverland.com/pub/media/category-images-new/suv-premium-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-pro-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-gr-1to.webp"
8,SUV Cover,Audi Q2,Audi,Q2,"http://www.coverland.com/pub/media/category-images-new/suv-premium-plus-bkgr-str.webp,http://www.coverland.com/pub/media/category-images-new/suv-premium-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-pro-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-gr-1to.webp"
9,SUV Cover,Audi Q3,Audi,Q3,"http://www.coverland.com/pub/media/category-images-new/suv-premium-plus-bkgr-str.webp,http://www.coverland.com/pub/media/category-images-new/suv-premium-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-pro-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-gr-1to.webp"
10,SUV Cover,Audi Q5,Audi,Q5,"http://www.coverland.com/pub/media/category-images-new/suv-premium-plus-bkgr-str.webp,http://www.coverland.com/pub/media/category-images-new/suv-premium-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-pro-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-gr-1to.webp"
11,SUV Cover,Audi Q7,Audi,Q7,"http://www.coverland.com/pub/media/category-images-new/suv-premium-plus-bkgr-str.webp,http://www.coverland.com/pub/media/category-images-new/suv-premium-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-pro-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-gr-1to.webp"
12,SUV Cover,Audi Q8,Audi,Q8,"http://www.coverland.com/pub/media/category-images-new/suv-premium-plus-bkgr-str.webp,http://www.coverland.com/pub/media/category-images-new/suv-premium-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-pro-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-gr-1to.webp"
13,SUV Cover,Audi RS Q3,Audi,RS Q3,"http://www.coverland.com/pub/media/category-images-new/suv-premium-plus-bkgr-str.webp,http://www.coverland.com/pub/media/category-images-new/suv-premium-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-pro-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-gr-1to.webp"
14,SUV Cover,Audi RS Q8,Audi,RS Q8,"http://www.coverland.com/pub/media/category-images-new/suv-premium-plus-bkgr-str.webp,http://www.coverland.com/pub/media/category-images-new/suv-premium-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-pro-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-gr-1to.webp"
15,SUV Cover,Audi SQ5,Audi,SQ5,"http://www.coverland.com/pub/media/category-images-new/suv-premium-plus-bkgr-str.webp,http://www.coverland.com/pub/media/category-images-new/suv-premium-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-pro-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-gr-1to.webp"
16,SUV Cover,Bentley Bentayga,Bentley,Bentayga,"http://www.coverland.com/pub/media/category-images-new/suv-premium-plus-bkgr-str.webp,http://www.coverland.com/pub/media/category-images-new/suv-premium-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-pro-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-gr-1to.webp"
17,SUV Cover,BMW Alpina XB7,BMW,Alpina XB7,"http://www.coverland.com/pub/media/category-images-new/suv-premium-plus-bkgr-str.webp,http://www.coverland.com/pub/media/category-images-new/suv-premium-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-pro-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-gr-1to.webp"
18,SUV Cover,BMW X1,BMW,X1,"http://www.coverland.com/pub/media/category-images-new/suv-premium-plus-bkgr-str.webp,http://www.coverland.com/pub/media/category-images-new/suv-premium-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-pro-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-gr-1to.webp"
19,SUV Cover,BMW X2,BMW,X2,"http://www.coverland.com/pub/media/category-images-new/suv-premium-plus-bkgr-str.webp,http://www.coverland.com/pub/media/category-images-new/suv-premium-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-pro-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/suv-standard-gr-1to.webp"
